what,kind,bundleId,bundleVersion,description,time
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1473138644882
java.vm.specification.version,sysinfo,,,"1.7",1473138644882
java.vm.vendor,sysinfo,,,"Oracle Corporation",1473138644883
java.vm.version,sysinfo,,,"24.79-b02",1473138644883
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1473138646143
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1473138646213
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1473138646500
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1473138646503
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1473138648019
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1473138648154
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1473138648797
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1473138649012
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1473138650505
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473138653191
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1473138656503
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473138876909
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1473138876960
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473138878537
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473139270886
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473139273702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473139275405
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473139276170
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1473139277604
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1473139277614
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1473139277634
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1473139277653
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1473139277695
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1473139277718
